Identificador,Módulo,Categoría,Clave de aprendizaje esperado vinculado,Aprendizaje esperado,Tema,Nombre del recurso,Palabras clave,Enlace de RED,Tipo de Recurso,Autoría,"Referencia en Formato APA o 
Manual de citas y referencias de Prepa en Línea-SEP basado en estilo APA"
M02R094_V,M02,Semana 1,AE-COM-022-PE14,"Identifica el tema, la intención, las partes de expresiones orales y escritas de un texto.",Reglas ortográficas,Aprendiendo el uso correcto de los acentos,"Ortografía, gramática, acentuación, regla de acentuación",https://youtu.be/NX5FSDN5Xfg,Video,Ajena,"Culturarte RD. (2019, 17 de agosto). Aprendiendo el uso correcto de los acentos | Culturarte - Gramática [Video]. YouTube. https://youtu.be/NX5FSDN5Xfg"
M02R095_V,M02,Semana 1,AE-COM-023-PE14,Utiliza internet como fuente de consulta para buscar información académica en sitios confiables.,Búsqueda de información confiable,Tips para identificar las fuentes confiables en internet,"Búsqueda de información, validar información, internet",https://www.un.edu.mx/tips-para-identificar-fuentes-confiables-internet/,Página de consulta o informativa,Ajena,"Valadés Brenda. (2022, 18 de abril). 5 tips para identificar fuentes confiables. Universidad del Norte. https://www.un.edu.mx/tips-para-identificar-fuentes-confiables-internet/"
M02R096_V,M02,Semana 1,AE-COM-020-PE14,Identifica las características de la comunicación oral y escrita.,Comunicación oral y escrita,Diferencias entre comunicación oral y escrita,"Comunicación, medios, tipo, lenguaje verbal y escrito",https://www.lifeder.com/distincion-comunicacion-oral-escrita/,Página de consulta o informativa,Ajena,"Lifeder. (2020, 09 de octubre). Diferencias entre comunicación oral y escrita.https://www.lifeder.com/distincion-comunicacion-oral-escrita/"
M02R097_V,M02,Semana 1,PENDIENTE,Elige alternativas y cursos de acción con base en criterios sustentados para comenzar la elaboración de su proyecto de vida.,Proceso de realización personal,¿Qué es la actitud?,"Actitud, expresión, predisposición a responder, formas de comportamiento",https://www.youtube.com/watch?v=KHibCsTgNOM,Video,Ajena,"Vilaseca Borja. (2020, 27 de julio). ¿Qué es la actitud? Borja Vilaseca [Video]. Youtube. https://www.youtube.com/watch?v=KHibCsTgNOM"
M02R098_V,M02,Semana 1,PENDIENTE,Elige alternativas y cursos de acción con base en criterios sustentados para comenzar la elaboración de su proyecto de vida.,Proceso de realización personal,¿Qué es el autoconocimiento? Deconstruyendo ideas,"Metas, proyecto, vida, planificación, crecimiento",https://www.youtube.com/watch?v=SbQOUFoxI5Y,Video,Ajena,"Deconstruyendo Ideas (2020, 13 de agosto). ¿Qué es el autoconocimiento? Deconstruyendo ideas [Video]. Youtube. https://www.youtube.com/watch?v=SbQOUFoxI5Y"
M02R099_V,M02,Semana 1,AE-COM-017-PE14,Reactiva aprendizajes previos del módulo propedéutico y módulo 1 sobre las características de la modalidad de estudios en Prepa en Línea–SEP y el uso de las TIC para obtener información y elaborar diversos productos.,Herramientas digitales,Guía de herramientas básicas para estudiantes,"Hábito, estudio, organización, estrategia, aplicación",https://www.xataka.com/basics/guia-herramientas-basicas-para-estudiantes-31-apps-webs-imprescindibles-para-ayudarte-estudios,Página de consulta o informativa,Ajena,"Fernández, Y. (2023, 27 de septiembre). Guía de herramientas básicas para estudiantes: 31 apps y webs imprescindibles para ayudarte con los estudios. Xataka Basics. https://www.xataka.com/basics/guia-herramientas-basicas-para-estudiantes-31-apps-webs-imprescindibles-para-ayudarte-estudios"
M02R100_V,M02,Semana 1,AE-COM-018-PE14,Identifica estrategias de estudio para gestionar de manera independiente su proceso de aprendizaje.,Estrategias de estudio para la construcción del conocimiento,Organiza tu tiempo de forma eficaz,"Hábito, estudio, organización, aplicación",https://sap.uca.es/wp-content/uploads/2017/03/Gu%C3%ADa-de-organizaci%C3%B3n-del-tiempo.pdf?u,Artículo o libro,Ajena,"Marchena, E., Hervías, F., Galo, C. y Rapp, C. (s.f.). Organiza tu tiempo de forma eficaz. Universidad de Cádiz. Departamento de Psicología. Servicio de Atención Psicológica y Pedagógica. Instituto Andaluz de la Juventud. https://sap.uca.es/wp-content/uploads/2017/03/Guía-de-organización-del-tiempo.pdf?u"
M02R102_V,M02,Semana 1,PENDIENTE,Elige alternativas y cursos de acción con base en criterios sustentados para comenzar la elaboración de su proyecto de vida.,Proceso de realización personal,Actitudes,"Actitud, expresión, predisposición a responder, formas de comportamiento",https://drive.google.com/file/d/1dIPiQ90wdI-FWHorR1W40Wbx3j5KtWzm/view?usp=share_link,Infografía,Propia,López Guadalupe. (2022). Actitudes [Infografía]. https://drive.google.com/file/d/1dIPiQ90wdI-FWHorR1W40Wbx3j5KtWzm/view?usp=share_link
M02R103_V,M02,Semana 1,AE-COM-021-PE14,"Utiliza sinónimos, antónimos y maneja adecuadamente la polisemia de las palabras.",Reglas ortográficas,Antónimos,"Gramática, comunicación, lingüística, antónimos",https://www.ejemplos.co/antonimos/,Página de consulta o informativa,Ajena,"Ribas, N. (2022, 26 de agosto). Antónimos. Enciclopedia de ejemplos. https://www.ejemplos.co/antonimos/"
M02R104_V,M02,Semana 1,AE-COM-019-PE14,Reactiva aprendizajes previos de Educación Secundaria respecto al uso de las clases de palabras y las muestra en algún texto.,Gramática,¿Cuáles son las clases de palabras?,"Gramática, comunicación, lingüística, clasificación de palabras",https://www.youtube.com/watch?v=A501o2l9zGk,Video,Ajena,FlexFlix Kids en Español. (2018). ¿Cuáles son las Clases de Palabras? | Videos Educativos Aula365 [Video]. YouTube. https://www.youtube.com/watch?v=A501o2l9zGk
M02R105_V,M02,Semana 1,AE-COM-019-PE14,Reactiva aprendizajes previos de Educación Secundaria respecto al uso de las clases de palabras y las muestra en algún texto.,Reglas ortográficas,¿Cómo usar correctamente los signos de puntuación?,"Ortografía, gramática, puntuación, facilidad de comprensión",https://www.youtube.com/watch?v=yAAFM8Ilxjw,Video,Ajena,"Sasowski, N. (2013). Cómo usar correctamente los signos de puntuación [Video]. YouTube. https://www.youtube.com/watch?v=yAAFM8Ilxjw"
M02R106_V,M02,Semana 1,AE-COM-019-PE14,Reactiva aprendizajes previos de Educación Secundaria respecto al uso de las clases de palabras y las muestra en algún texto.,Reglas ortográficas,Corrector online,"Ortografía, gramática, acentuación, aplicación",https://www.correctoronline.es/,Herramienta digital o software,Ajena,Corrector Online. (s.f.). Corrector de textos online. https://www.correctoronline.es/
M02R107_V,M02,Semana 1,AE-COM-018-PE14,Identifica estrategias de estudio para gestionar de manera independiente su proceso de aprendizaje.,Estrategias de estudio para la construcción del conocimiento,Técnicas de estudio que aumentan la retención,"Hábito, estudio, organización, estrategia, aprendizaje",https://www.youtube.com/watch?v=iTquug-8urc,Video,Ajena,"Lomeli Pablo. (2019, 30 julio). Las 5 mejores técnicas de estudio (que Aumentan la Retención) | Técnicas de Estudio #4 [Vídeo]. YouTube. https://www.youtube.com/watch?v=iTquug-8urc"
M02R108_V,M02,Semana 1,AE-COM-019-PE14,Reactiva aprendizajes previos de Educación Secundaria respecto al uso de las clases de palabras y las muestra en algún texto.,Gramática,Ejercicios con las categorías gramaticales,"Gramática, comunicación, lingüística",https://www.youtube.com/watch?v=8kOuOenY5yQ,Video,Ajena,"La Profe Mónica. (2021, 24 de junio). Ejercicios con las categorías gramaticales [Video]. YouTube. https://www.youtube.com/watch?v=8kOuOenY5yQ"
M02R109_V,M02,Semana 1,AE-COM-019-PE14,Reactiva aprendizajes previos de Educación Secundaria respecto al uso de las clases de palabras y las muestra en algún texto.,Reglas ortográficas,Aprende a redactar tus párrafos para escribir textos mejores,"Redacción, técnica, ejercicio, ortografía, gramática, signos de puntuación, acentuación",https://www.youtube.com/watch?v=3neCEW378vc,Video,Ajena,"Blog de Lengua. (2018, 3 octubre). Aprende a redactar tus párrafos para escribir textos mejores [Vídeo]. YouTube. https://www.youtube.com/watch?v=3neCEW378vc"
M02R110_V,M02,Semana 1,PENDIENTE,Elige alternativas y cursos de acción con base en criterios sustentados para comenzar la elaboración de su proyecto de vida.,Proceso de realización personal,Guía de autoconocimiento,"Proyecto, vida, planificación, crecimiento",https://algohacambiado.com/wp-content/uploads/Guia-AhC-de-autoconocimiento-M.pdf,Otro,Ajena,Algo ha cambiado. (s.f.). Guía de autoconocimiento. Preguntas y ejercicios que te ayudarán a conocerte mejor. https://algohacambiado.com/wp-content/uploads/Guia-AhC-de-autoconocimiento-M.pdf
M02R111_V,M02,Semana 1,AE-COM-019-PE14,Reactiva aprendizajes previos de Educación Secundaria respecto al uso de las clases de palabras y las muestra en algún texto.,Gramática,Clases de palabras,"Gramática, comunicación, lingüística, categorías gramaticales",https://www.edu.xunta.gal/centros/iesillaons/system/files/CLASES+DE+PALABRAS.+(T).pdf,Página de consulta o informativa,Ajena,Anónimo (s.f.). Clases De Palabras. https://www.edu.xunta.gal/centros/iesillaons/system/files/CLASES+DE+PALABRAS.+(T).pdf
M02R112_V,M02,Semana 1,AE-COM-018-PE14,Identifica estrategias de estudio para gestionar de manera independiente su proceso de aprendizaje.,Estrategias de estudio para la construcción del conocimiento,Descubre tu estilo de aprendizaje,"Hábito, estudio, organización, estrategia, aprendizaje",https://pruebat.org/lo-que-debes-saber-para-aprender/descubre-tu-estilo-de-aprendizaje/11406-167981,Otro,Ajena,PruebaT. (s. f.). Descubre tu estilo de aprendizaje. https://pruebat.org/lo-que-debes-saber-para-aprender/descubre-tu-estilo-de-aprendizaje/11406-167981
M02R113_V,M02,Semana 1,AE-COM-021-PE14,"Utiliza sinónimos, antónimos y maneja adecuadamente la polisemia de las palabras.",Reglas ortográficas,¿Qué son los antónimos?,"Gramática, comunicación, lingüística, antónimos",https://www.twinkl.com.mx/teaching-wiki/antonimos,Página de consulta o informativa,Ajena,Twinkl. (s.f.). ¿Qué son los antónimos? https://www.twinkl.com.mx/teaching-wiki/antonimos
M02R114_V,M02,Semana 1,AE-COM-019-PE14,Reactiva aprendizajes previos de Educación Secundaria respecto al uso de las clases de palabras y las muestra en algún texto.,Gramática,"Vocabulario: homónimos, sinónimos y antónimos","Gramática, comunicación, lingüística, antónimos",https://tuaulavirtual.educatic.unam.mx/mod/assign/view.php?id=468273,Página de consulta o informativa,Ajena,"Delgado Alejandra. (2020). Curso. 4.6 Vocabulario: homónimos, sinónimos y antónimos. Tu Aula Virtual Educativa U.N.A.M. Dirección General de Cómputo y de Tecnologías de Información y Comunicación UNAM. https://tuaulavirtual.educatic.unam.mx/mod/assign/view.php?id=468273"
M02R116_V,M02,Semana 1,AE-COM-018-PE14,Identifica estrategias de estudio para gestionar de manera independiente su proceso de aprendizaje.,Estrategias de estudio para la construcción del conocimiento,Estrategias para estudiar de manera autónoma,"Hábito, estudio, organización, estrategia, aprendizaje",https://spsp.ipn.mx/10tips/estudiar-manera-autonoma.html,Página de consulta o informativa,Ajena,Instituto Politécnico Nacional. (2016). Estrategias para estudiar de manera autónoma. Secretaría de Educación Pública. https://spsp.ipn.mx/10tips/estudiar-manera-autonoma.html
M02R117_V,M02,Semana 1,PENDIENTE,Elige alternativas y cursos de acción con base en criterios sustentados para comenzar la elaboración de su proyecto de vida.,Proceso de realización personal,Autoconocimiento: ¿Por qué es importante y cómo nos ayuda en el día a día?,"Metas, proyecto, vida, planificación, crecimiento","https://asispa.org/autoconocimiento-porque-es-importante-como-nos-ayuda/#:~:text=En%20primer%20lugar%2C%20uno%20de,mejora%20de%20la%20salud%20mental.",Página de consulta o informativa,Ajena,"ASISPA. (2022, 03 de agosto). Autoconocimiento: por qué es importante y cómo nos ayuda en el día a día. https://asispa.org/autoconocimiento-porque-es-importante-como-nos-ayuda/#:~:text=En%20primer%20lugar%2C%20uno%20de,mejora%20de%20la%20salud%20mental."
M02R119_V,M02,Semana 1,AE-COM-019-PE14,Reactiva aprendizajes previos de Educación Secundaria respecto al uso de las clases de palabras y las muestra en algún texto.,Reglas ortográficas,Manual de uso de los signos de puntuación,"Ortografía, gramática, puntuación, facilidad de comprensión",http://www.ittizimin.edu.mx/wp-content/uploads/2016/08/Manual-de-Uso-de-los-Signos-de-Puntuacion.pdf,Artículo o libro,Ajena,Universidad de Córdoba. (s.f.). Manual de uso de los signos de puntuación. Grupo de Investigación AVI Ambientes Virtuales Interactivos. http://www.ittizimin.edu.mx/wp-content/uploads/2016/08/Manual-de-Uso-de-los-Signos-de-Puntuacion.pdf
M02R120_V,M02,Semana 1,PENDIENTE,Elige alternativas y cursos de acción con base en criterios sustentados para comenzar la elaboración de su proyecto de vida.,Proceso de realización personal,¿Cómo establecer metas y objetivos?,"Metas, proyecto, vida, planificación, crecimiento",https://www.youtube.com/watch?v=aZhZJaCQnJ4,Video,Ajena,"ProdHabits. (2020, 8 de enero). Cómo establecer metas y objetivos (Método SMART 2022) [Video]. YouTube. https://www.youtube.com/watch?v=aZhZJaCQnJ4"
M02R121_V,M02,Semana 1,AE-COM-018-PE14,Identifica estrategias de estudio para gestionar de manera independiente su proceso de aprendizaje.,Estrategias de estudio para la construcción del conocimiento,"Hábitos de estudio, consejos respaldados científicamente","Hábito, estudio, organización, estrategia, aprendizaje",https://www.youtube.com/watch?v=ZGJizJsSF8A,Video,Ajena,"Hemisferio Derecho. (2018, 9 de julio). Hábitos de estudio- Consejos Respaldados Científicamente [Video]. YouTube. https://www.youtube.com/watch?v=ZGJizJsSF8A"
M02R122_V,M02,Semana 1,AE-COM-020-PE14,Identifica las características de la comunicación oral y escrita.,Comunicación oral y escrita,Comunicación oral y escrita: ¿cuáles son sus diferencias?,"Comunicación, oral, escrita",https://www.youtube.com/watch?v=JiM6f6z1lxA,Video,Ajena,"Lifeder Educación. (2022, 14 de julio). Comunicación oral y escrita: ¿cuáles son sus diferencias? (con ejemplos) [Video]. YouTube. https://youtu.be/JiM6f6z1lxA?si=tt2i4zeKZFp2YENi"
M02R123_V,M02,Semana 1,PENDIENTE,Elige alternativas y cursos de acción con base en criterios sustentados para comenzar la elaboración de su proyecto de vida.,Proceso de realización personal,Diseño del proyecto de vida,"Redacción, autobiografía, proyecto, metas",https://youtu.be/bZRTqgamcJ4,Video,Ajena,"Dirección General de Telebachillerato del Estado de Veracruz. (2018, 11 de diciembre). Diseño del proyecto de vida [Video]. YouTube. https://www.youtube.com/watch?v=bZRTqgamcJ4"
M02R124_V,M02,Semana 1,AE-COM-020-PE14,Identifica las características de la comunicación oral y escrita.,Comunicación oral y escrita,Diferencias entre los sinónimos y antónimos,"Redacción, ejercicio, sinónimos, antónimos",https://unibetas.com/sinonimos-y-antonimos,Página de consulta o informativa,Ajena,"Unibetas. (2022, febrero 05). Diferencias entre los Sinónimos y antónimos: Ejemplos y ejercicios. https://unibetas.com/sinonimos-y-antonimos"
M02R125_V,M02,Semana 1,PENDIENTE,Elige alternativas y cursos de acción con base en criterios sustentados para comenzar la elaboración de su proyecto de vida.,Proceso de realización personal,Definición de autoconocimiento,"Autoconocimiento, crecimiento, capacidad de introspección, proceso reflexivo",https://www.youtube.com/watch?v=BJuk4bQ_UxU,Video,Ajena,"SEP (2019, 3 de noviembre). 3.- Definición de Autoconocimiento - CT4-FIB. [Video]. YouTube. https://www.youtube.com/watch?v=BJuk4bQ_UxU"
M02R126_V,M02,Semana 1,AE-COM-018-PE14,Identifica estrategias de estudio para gestionar de manera independiente su proceso de aprendizaje.,Estrategias de estudio para la construcción del conocimiento,Lo que necesita un buen estudiante,"Hábito, estudio, organización, estrategia, aprendizaje",https://www.uaeh.edu.mx/scige/boletin/prepa4/n4/e13.html,Artículo o libro,Ajena,"Vega, M. J. (2014). Lo que necesita un buen estudiante. Vida Científica Boletín científico de la Escuela Preparatoria No. 4, 2(4). https://www.uaeh.edu.mx/scige/boletin/prepa4/n4/e13.html"
M02R127_V,M02,Semana 1,AE-COM-022-PE14,"Identifica el tema, la intención, las partes de expresiones orales y escritas de un texto.",Proceso de escritura,La autobiografía: Narrar la propia vida ¿De qué se trata?,"Redacción, autobiografía, proyecto, metas",https://celee.uao.edu.co/la-autobiografia-narrar-la-vida-se-trata/,Página de consulta o informativa,Ajena,Delgado Paula. (2023). La autobiografía: Narrar la propia vida ¿De qué se trata? Centro de Lectura y Escritura CELEE. Universidad Autónoma de Occidente. https://celee.uao.edu.co/la-autobiografia-narrar-la-vida-se-trata/
M02R128_V,M02,Semana 1,AE-COM-018-PE14,Identifica estrategias de estudio para gestionar de manera independiente su proceso de aprendizaje.,Hábitos de estudio,Administración del tiempo,"Hábito, estudio, organización, estrategia, aprendizaje",https://www.youtube.com/watch?v=H7rfAQ18Npc,Video,Ajena,"CCH UNAM (2020, 8 octubre). Administración del tiempo [Video]. YouTube. https://www.youtube.com/watch?v=H7rfAQ18Npc"
M02R129_V,M02,Semana 1,AE-COM-018-PE14,Identifica estrategias de estudio para gestionar de manera independiente su proceso de aprendizaje.,Estrategias de estudio para la construcción del conocimiento,Técnicas de estudio,"Hábito, estudio, organización, estrategia, aprendizaje",https://biblioguias.unex.es/c.php?g=572102&p=3944558,Página de consulta o informativa,Ajena,Biblioteca de la Universidad de Extremadura (2023). Técnicas de estudio. Guías de la Biblioteca de la UEx. https://biblioguias.unex.es/c.php?g=572102&p=3944558
M02R130_V,M02,Semana 1,AE-COM-022-PE14,"Identifica el tema, la intención, las partes de expresiones orales y escritas de un texto.",Proceso de escritura,El párrafo,"Redacción, técnica, párrafo, fragmento escrito, unidad semántica",https://portalacademico.cch.unam.mx/alumno/tlriid2/unidad2/elparrafo,Página de consulta o informativa,Ajena,"Sánchez Felipe. (2011). El párrafo. Portal Académico del CCH, UNAM. Escuela Nacional Colegio de Ciencias y Humanidades. https://portalacademico.cch.unam.mx/alumno/tlriid2/unidad2/elparrafo"
M02R131_V,M02,Semana 1,AE-COM-019-PE14,Reactiva aprendizajes previos de Educación Secundaria respecto al uso de las clases de palabras y las muestra en algún texto.,Gramática,Adverbios,"Redacción, adverbios, proporciona información adicional, complementación de verbos",https://portalacademico.cch.unam.mx/alumno/tlriid2/unidad1/elreferente/adverbio,Página de consulta o informativa,Ajena,"Herrero Lucía. (2011). Adverbios. En El Referente. Portal Académico del CCH, UNAM. Escuela Nacional Colegio de Ciencias y Humanidades. https://portalacademico.cch.unam.mx/alumno/tlriid2/unidad1/elreferente/adverbio"
M02R132_V,M02,Semana 1,AE-COM-018-PE14,Identifica estrategias de estudio para gestionar de manera independiente su proceso de aprendizaje.,Estrategias de estudio para la construcción del conocimiento,"Estrategias de aprendizaje para visuales, auditivos y kinestésicos","Aprendizaje, estrategia, tipo, retención de información",http://www.eumed.net/rev/atlante/2016/05/kinestesicos.html,Artículo o libro,Ajena,"Romero José. (2016). Estrategias de aprendizaje para visuales, auditivos y kinestésicos. Revista Atlante: Cuadernos de Educación y Desarrollo. http://www.eumed.net/rev/atlante/2016/05/kinestesicos.html"
M02R133_V,M02,Semana 1,PENDIENTE,Elige alternativas y cursos de acción con base en criterios sustentados para comenzar la elaboración de su proyecto de vida.,Proceso de realización personal,"Por los sueños se suspira, por las metas se trabaja","Metas, proyecto, vida, planificación, crecimiento",https://youtu.be/6NTM8gVauY0,Video,Ajena,"Ramos Humberto (TEDx Talks). (2017, 8 de noviembre). Por los sueños se suspira, por las metas se trabaja [Video]. Youtube. https://youtu.be/6NTM8gVauY0"
M02R134_V,M02,Semana 1,AE-COM-021-PE14,"Utiliza sinónimos, antónimos y maneja adecuadamente la polisemia de las palabras.",Reglas ortográficas,Antónimos,"Gramática, comunicación, lingüística, antónimos",https://unibetas.com/antonimos,Página de consulta o informativa,Ajena,"UniBetas. (2022, 20 de febrero). Antónimos: Definición, ejemplos y ejercicios resueltos. https://unibetas.com/antonimos"
M02R135_V,M02,Semana 1,PENDIENTE,Elige alternativas y cursos de acción con base en criterios sustentados para comenzar la elaboración de su proyecto de vida.,Proceso de realización personal,Ejemplos de actitud y aptitud,"Actitud, personalidad, aptitud, talento natural, crecimiento","https://blog.uvirtual.org/actitud-y-aptitud-diferencias-e-importancia#:~:text=Algunos%20ejemplos%20de%20actitud%20son,se%20encuentra%20con%20la%20aptitud",Página de consulta o informativa,Ajena,"Uvirtual. (2023, 13 de septiembre). Ejemplos de Actitud y Aptitud [Blog]. Desarrollo Profesional. https://blog.uvirtual.org/actitud-y-aptitud-diferencias-e-importancia#:~:text=Algunos%20ejemplos%20de%20actitud%20son,se%20encuentra%20con%20la%20aptitud"
M02R136_V,M02,Semana 1,AE-COM-019-PE14,Reactiva aprendizajes previos de Educación Secundaria respecto al uso de las clases de palabras y las muestra en algún texto.,Gramática,Tipos de palabras,"Categorías gramaticales, palabras, redacción, distribución de clase de palabras",http://cea.cide.edu/gramtica/tipos_de_palabras.html,Página de consulta o informativa,Ajena,CIDE. (s/f). Tipos de palabras.http://cea.cide.edu/gramática/tipos_de_palabras.html
M02R137_V,M02,Semana 1,AE-COM-020-PE14,Identifica las características de la comunicación oral y escrita.,Comunicación oral y escrita,Comunicación oral y escrita,"Comunicación, oral, escrita",https://www.diferenciador.com/comunicacion-oral-y-escrita/,Página de consulta o informativa,Ajena,"Delgado, I. (s.f). Comunicación oral y escrita. https://www.diferenciador.com/comunicacion-oral-y-escrita/"
M02R139_V,M02,Semana 1,AE-COM-017-PE14,Reactiva aprendizajes previos del módulo propedéutico y módulo 1 sobre las características de la modalidad de estudios en Prepa en Línea–SEP y el uso de las TIC para obtener información y elaborar diversos productos.,Herramientas digitales,¿Qué son las TIC y para qué sirven?,"TIC, internet, tecnologías, información, comunicación",https://www.youtube.com/watch?v=q8MeNBwRtPU,Video,Ajena,"Lifeder Educación. (2022, 20 de agosto). ¿Qué son las TIC y para qué sirven? Tipos y ejemplos (Tecnologías de la Información y Comunicación) [Video]. YouTube. https://www.youtube.com/watch?v=q8MeNBwRtPU
 Consultado el 10 de noviembre 2023"
